train_x,train_y,censoring,task
"[13, 1, 8, 1, 3, 13, 1, 20, 1, 3, 2, 1, 19, 1, 3, 2, 1, 17, 1, 3, 13, 1, 10, 1, 3, 2, 1, 13, 1, 3]",-0.35403076,1.0,CEB_10A10
"[13, 1, 8, 1, 3, 2, 1, 17, 1, 3, 2, 1, 19, 1, 3, 13, 1, 2, 1, 3, 20, 1, 10, 1, 3, 13, 1, 20, 1, 3]",-0.35403076,1.0,CEB_10A10
"[13, 1, 8, 1, 3, 2, 1, 17, 1, 3, 20, 1, 10, 1, 3, 2, 1, 19, 1, 3, 20, 1, 13, 1, 3, 20, 1, 2, 1, 3]",-0.35403076,1.0,CEB_10A10
"[17, 1, 2, 1, 1, 19, 1, 17, 1, 3, 13, 1, 19, 1, 1, 8, 1, 13, 1, 3, 8, 1, 20, 1, 1, 8, 1, 10, 1, 1]",-0.54441905,0.0,CEB_10A10
"[2, 1, 17, 1, 1, 2, 1, 20, 1, 1, 2, 1, 19, 1, 3, 13, 1, 2, 1, 1, 13, 1, 10, 1, 1, 13, 1, 8, 1, 1]",-0.5797446,0.0,CEB_10A10
"[17, 1, 2, 1, 1, 17, 1, 19, 1, 2, 17, 1, 20, 1, 1, 17, 1, 10, 1, 1, 17, 1, 13, 1, 1, 17, 1, 8, 1, 1]",-0.664783,1.0,CEB_10A15
"[17, 1, 2, 1, 1, 17, 1, 19, 1, 2, 17, 1, 13, 1, 1, 17, 1, 8, 1, 2, 17, 1, 20, 1, 1, 17, 1, 10, 1, 1]",-0.664783,1.0,CEB_10A15
"[13, 1, 8, 1, 3, 2, 1, 19, 1, 3, 20, 1, 13, 1, 3, 2, 1, 17, 1, 3, 20, 1, 2, 1, 3, 20, 1, 10, 1, 3]",-0.664783,1.0,CEB_10A15
"[2, 1, 17, 1, 1, 2, 1, 19, 1, 1, 2, 1, 13, 1, 1, 2, 1, 8, 1, 3, 2, 1, 20, 1, 3, 2, 1, 10, 1, 1]",-1.3424175,0.0,CEB_10A15
"[2, 1, 17, 1, 1, 13, 1, 2, 1, 1, 13, 1, 20, 1, 1, 13, 1, 10, 1, 2, 13, 1, 19, 1, 3, 13, 1, 8, 1, 1]",-1.4541584,0.0,CEB_10A15
"[13, 1, 8, 1, 2, 2, 1, 17, 1, 2, 2, 1, 19, 1, 2, 13, 1, 2, 1, 2, 20, 1, 13, 1, 2, 20, 1, 10, 1, 2]",-0.65709215,1.0,CEB_10A35
"[13, 1, 8, 1, 1, 13, 1, 20, 1, 1, 13, 1, 10, 1, 1, 13, 1, 2, 1, 1, 13, 1, 19, 1, 1, 13, 1, 17, 1, 3]",-0.65709215,1.0,CEB_10A35
"[2, 1, 19, 1, 3, 2, 1, 17, 1, 3, 13, 1, 8, 1, 3, 13, 1, 2, 1, 3, 13, 1, 20, 1, 3, 13, 1, 10, 1, 3]",-0.65709215,1.0,CEB_10A35
"[8, 1, 13, 1, 1, 20, 1, 10, 1, 1, 20, 1, 8, 1, 2, 20, 1, 2, 1, 1, 20, 1, 19, 1, 2, 20, 1, 17, 1, 1]",-0.65709215,1.0,CEB_10A35
"[13, 1, 8, 1, 2, 20, 1, 10, 1, 2, 13, 1, 20, 1, 2, 13, 1, 2, 1, 1, 13, 1, 17, 1, 2, 13, 1, 19, 1, 2]",-0.65709215,1.0,CEB_10A35
"[2, 1, 17, 1, 1, 2, 1, 19, 1, 1, 13, 1, 2, 1, 1, 13, 1, 20, 1, 1, 13, 1, 8, 1, 1, 13, 1, 10, 1, 3]",-1.0081809,0.0,CEB_10A47
"[17, 1, 2, 1, 1, 20, 1, 17, 1, 1, 20, 1, 10, 1, 1, 20, 1, 19, 1, 1, 20, 1, 13, 1, 1, 20, 1, 8, 1, 1]",-1.0554545,0.0,CEB_10A47
"[2, 1, 17, 1, 1, 2, 1, 20, 1, 1, 2, 1, 19, 1, 1, 2, 1, 10, 1, 1, 2, 1, 13, 1, 1, 2, 1, 8, 1, 3]",-1.092642,0.0,CEB_10A47
"[17, 1, 2, 1, 1, 13, 1, 17, 1, 1, 13, 1, 19, 1, 1, 13, 1, 20, 1, 1, 13, 1, 8, 1, 1, 13, 1, 10, 1, 3]",-1.0970047,0.0,CEB_10A47
"[2, 1, 17, 1, 1, 2, 1, 19, 1, 1, 2, 1, 13, 1, 1, 2, 1, 20, 1, 2, 8, 1, 2, 1, 3, 8, 1, 10, 1, 1]",-1.1110368,0.0,CEB_10A47
"[2, 1, 17, 1, 3, 2, 1, 19, 1, 3, 13, 1, 8, 1, 3, 13, 1, 20, 1, 3, 13, 1, 2, 1, 3, 13, 1, 10, 1, 3]",-0.22667499,1.0,CEB_10A5
"[13, 1, 8, 1, 3, 2, 1, 19, 1, 3, 2, 1, 17, 1, 3, 20, 1, 2, 1, 3, 20, 1, 13, 1, 3, 20, 1, 10, 1, 3]",-0.22667499,1.0,CEB_10A5
"[2, 1, 19, 1, 3, 2, 1, 17, 1, 3, 13, 1, 8, 1, 3, 20, 1, 2, 1, 3, 20, 1, 13, 1, 3, 20, 1, 10, 1, 3]",-0.22667499,1.0,CEB_10A5
"[17, 1, 2, 1, 1, 17, 1, 19, 1, 1, 17, 1, 13, 1, 1, 17, 1, 8, 1, 1, 17, 1, 20, 1, 1, 17, 1, 10, 1, 1]",-0.22667499,1.0,CEB_10A5
"[8, 1, 13, 1, 1, 20, 1, 10, 1, 1, 20, 1, 8, 1, 2, 20, 1, 2, 1, 1, 20, 1, 17, 1, 2, 20, 1, 19, 1, 2]",-0.22667499,1.0,CEB_10A5
